Simpsons Frequency Dictionary

Frequency Dictionary based on OpenSubtitles of all Simpson Episodes (in english).

Rank   Word                           Frequency
645    dance                          (553)
646    shall                          (552)
647    picture                        (549)
648    lenny                          (547)
649    parents                        (545)
650    spend                          (545)
651    candy                          (544)
652    beat                           (540)
653    ralph                          (539)
654    sick                           (538)
655    ho                             (538)
656    butt                           (538)
657    learned                        (537)
658    person                         (537)
659    clean                          (536)
660    plan                           (534)
661    lives                          (534)
662    yours                          (533)
663    truth                          (532)
664    started                        (529)
665    somebody                       (529)
666    rings                          (527)
667    cat                            (526)
668    send                           (526)
669    catch                          (525)
670    write                          (523)
671    against                        (522)
672    murmuring                      (521)
673    forever                        (521)
674    knows                          (521)
675    far                            (520)
676    they'll                        (520)
677    tree                           (520)
678    child                          (518)
679    good-bye                       (518)
680    different                      (518)
681    fish                           (515)
682    doctor                         (512)
683    fast                           (512)
684    folks                          (512)
685    almost                         (509)
686    terrible                       (509)
687    proud                          (508)
688    snoring                        (506)
689    eight                          (506)
690    tried                          (506)
691    war                            (505)
692    favorite                       (504)
693    scratchy                       (502)
694    laugh                          (501)
695    red                            (500)
696    earth                          (500)
697    sideshow                       (499)
698    saved                          (499)
699    barney                         (499)
700    sell                           (498)
701    nuclear                        (497)
702    promise                        (495)
703    teach                          (491)
704    along                          (490)
705    lucky                          (490)
706    wedding                        (490)
707    couple                         (486)
708    it'll                          (486)
709    wiggum                         (486)
710    bucks                          (483)
711    rich                           (483)
712    blood                          (483)
713    worse                          (482)
714    ten                            (481)
715    dogs                           (481)
716    gun                            (480)
717    future                         (480)
718    quiet                          (479)
719    throat                         (478)
720    ride                           (478)
721    eye                            (478)
722    date                           (478)
723    horn                           (478)
724    kent                           (477)
725    we'd                           (477)
726    feeling                        (477)
727    half                           (476)
728    less                           (476)
729    ends                           (476)
730    lose                           (474)
731    bought                         (474)
732    living                         (473)
733    moment                         (473)
734    return                         (473)
735    lie                            (472)
736    church                         (471)
737    ahead                          (470)
738    bill                           (469)
739    roll                           (469)
740    blue                           (467)
741    whistle                        (465)
742    human                          (465)
743    laughter                       (464)
744    words                          (464)
745    selma                          (464)
746    pie                            (464)
747    become                         (462)
748    wonder                         (461)
749    state                          (460)
750    willie                         (460)
751    body                           (459)
752    outside                        (459)
753    loud                           (459)
754    king                           (457)
755    using                          (457)
756    panting                        (456)
757    machine                        (456)
758    small                          (450)
759    smell                          (450)
760    cream                          (449)
761    hat                            (448)
762    perhaps                        (448)
763    soul                           (445)
764    mouth                          (444)
765    giving                         (444)
766    sobbing                        (444)
767    quick                          (443)
768    seven                          (443)
769    uh-huh                         (443)
770    ohh                            (442)
771    reason                         (441)
772    brain                          (441)
773    paper                          (441)
774    whimpering                     (441)
775    whoo                           (440)
776    evil                           (439)
777    cold                           (438)
778    instead                        (437)
779    office                         (437)
780    excellent                      (437)
781    dude                           (437)
782    shouldn't                      (436)
783    sweetie                        (436)
784    worst                          (435)
785    fired                          (434)
786    monkey                         (433)
787    hour                           (433)
788    paid                           (431)
789    wear                           (431)
790    act                            (430)
791    floor                          (430)
792    la                             (429)
793    stick                          (429)
794    company                        (428)
795    light                          (428)
796    greatest                       (428)
797    boss                           (428)
798    super                          (427)
799    chorus                         (427)
800    street                         (426)
801    sometimes                      (426)
802    pass                           (426)
803    yelling                        (425)
804    smart                          (425)
805    fault                          (423)
806    join                           (423)
807    safe                           (422)
808    met                            (422)
809    wake                           (420)
810    relax                          (420)
811    lousy                          (420)
812    gay                            (419)
813    honor                          (418)
814    lunch                          (416)
815    books                          (415)
816    turned                         (415)
817    film                           (414)
818    sex                            (413)
819    fact                           (413)
820    takes                          (411)
821    hang                           (411)
822    moe's                          (410)
823    anybody                        (409)
824    ones                           (408)
825    taken                          (407)
826    lisa's                         (406)
827    law                            (406)
828    touch                          (405)
829    either                         (404)
830    aah                            (403)
831    likes                          (403)
832    edna                           (403)
833    bag                            (402)
834    seem                           (401)
835    gas                            (400)
836    extra                          (400)
837    running                        (399)
838    feet                           (398)
839    applause                       (398)
840    pull                           (396)
841    step                           (396)
842    present                        (393)
843    luck                           (392)
844    how's                          (389)
845    reading                        (389)
846    leaving                        (389)
847    surprise                       (388)
848    sold                           (386)
849    angry                          (386)
850    star                           (385)
851    gasp                           (385)
852    worth                          (384)
853    piece                          (384)
854    sad                            (384)
855    unless                         (384)
856    speak                          (384)
857    forgot                         (384)
858    bear                           (383)
859    land                           (382)
860    tired                          (382)
861    trip                           (382)
862    space                          (382)
863    sugar                          (380)
864    homer's                        (380)
865    crap                           (380)
866    problems                       (379)
867    drunk                          (379)
868    afford                         (379)
869    blowing                        (378)
870    drop                           (378)
871    known                          (377)
872    club                           (375)
873    thinks                         (375)
874    longer                         (374)
875    key                            (373)
876    drinking                       (373)
877    table                          (373)
878    english                        (373)
879    cake                           (372)
880    one's                          (372)
881    idiot                          (371)
882    shoot                          (370)
883    daughter                       (370)
884    between                        (369)
885    kidding                        (369)
886    clears                         (369)
887    monster                        (368)
888    yo                             (368)
889    certainly                      (367)
890    low                            (363)
891    nose                           (363)
892    calling                        (363)
893    fly                            (362)
894    group                          (362)
895    works                          (362)
896    mayor                          (361)
897    evening                        (361)
898    past                           (361)
899    boring                         (361)
900    letter                         (361)
901    fall                           (361)
902    radio                          (360)
903    driving                        (359)
904    weren't                        (358)
905    cute                           (358)
906    clear                          (357)
907    white                          (357)
908    movies                         (357)
909    pop                            (357)
910    teacher                        (356)
911    ma'am                          (356)
912    window                         (355)
913    coffee                         (355)
914    worked                         (355)
915    growling                       (354)
916    black                          (353)
917    ass                            (353)
918    horrible                       (353)
919    martin                         (352)
920    himself                        (351)
921    stuck                          (351)
922    happens                        (351)
923    blow                           (351)
924    audience                       (351)
925    choice                         (351)
926    though                         (350)
927    loved                          (349)
928    nuts                           (349)
929    hurry                          (349)
930    seat                           (349)
931    prison                         (348)
932    burn                           (348)
933    gee                            (348)
934    l                              (347)
935    missed                         (347)
936    lou                            (347)
937    died                           (346)
938    heaven                         (346)
939    history                        (346)
940    college                        (345)
941    mm                             (345)
942    doorbell                       (345)
943    cheese                         (345)
944    sort                           (344)
945    wrote                          (344)
946    ring                           (344)
947    wearing                        (344)
948    dreams                         (343)
949    build                          (343)
950    brockman                       (343)
951    straight                       (343)
952    broke                          (342)
953    duff                           (342)
954    art                            (340)
955    announcer                      (340)
956    caught                         (339)
957    awesome                        (339)
958    boat                           (338)
959    krabappel                      (337)
960    report                         (337)
961    lise                           (337)
962    ruined                         (336)
963    starting                       (336)
964    questions                      (335)
965    hero                           (335)
966    absolutely                     (335)
967    age                            (334)
968    sense                          (334)
969    public                         (334)
970    lesson                         (332)
971    shoes                          (332)
972    fresh                          (331)
973    plus                           (331)
974    nah                            (331)
975    toilet                         (330)
976    camera                         (330)
977    trust                          (330)
978    chair                          (330)
979    gift                           (329)
980    visit                          (329)
981    grow                           (329)
982    months                         (328)
983    pain                           (328)
984    milk                           (327)
985    tickets                        (327)
986    park                           (327)
987    deserve                        (327)
988    cost                           (326)
989    share                          (326)
